feature,coefficient,absolute_coefficient
seeking_work_True,-3.2094137761498334,3.2094137761498334
seeking_work_False,3.207670254662044,3.207670254662044
months_unemployed,-2.8026246814223663,2.8026246814223663
township_code_SOWETO,-1.0555787764309432,1.0555787764309432
has_smartphone_False,-0.8913026328158854,0.8913026328158854
has_smartphone_True,0.889559111328106,0.889559111328106
township_code_ALEXANDRA,0.743471428237415,0.743471428237415
preferred_sector_Education,-0.5527601316354415,0.5527601316354415
field_of_study_IT,0.544756249730021,0.544756249730021
transport_mode_Taxi,-0.5444631627356763,0.5444631627356763
preferred_sector_Manufacturing,0.47598115521756407,0.47598115521756407
nqf_level,0.43316244132773324,0.43316244132773324
income_band_>R15000,0.41454703432147655,0.41454703432147655
gender_code_Female,-0.3888645525479999,0.3888645525479999
transport_mode_Own Car,-0.38840956487074463,0.38840956487074463
gender_code_Male,0.3871210310602189,0.3871210310602189
highest_qualification_Honours,0.3706214959975302,0.3706214959975302
transport_mode_Bus,0.35919021655318684,0.35919021655318684
preferred_sector_Finance,0.3491386633025722,0.3491386633025722
field_of_study_Hospitality,-0.3330194320248186,0.3330194320248186
highest_qualification_Certificate,-0.32728440636701384,0.32728440636701384
transport_mode_Train,0.291159819472085,0.291159819472085
highest_qualification_Bachelor Degree,0.2905696532547843,0.2905696532547843
township_code_KATLEHONG,0.28819842042081656,0.28819842042081656
transport_mode_Walk,0.28077917009336706,0.28077917009336706
age,-0.2575765102054487,0.2575765102054487
digital_literacy_level_Intermediate,-0.2573649524330666,0.2573649524330666
digital_literacy_level_Advanced,0.24185899047363954,0.24185899047363954
field_of_study_Engineering,0.21978484040392582,0.21978484040392582
ward_number_WARD_001,-0.21649700692356247,0.21649700692356247
field_of_study_General,-0.1918528582154896,0.1918528582154896
education_level_code_GRADE_12,-0.1918528582154896,0.1918528582154896
income_band_R7501-R15000,-0.18952743820200374,0.18952743820200374
income_band_R0-R1500,-0.18896840637021525,0.18896840637021525
township_code_VOSLOORUS,-0.18671306055454678,0.18671306055454678
field_of_study_Business,-0.18023360205423583,0.18023360205423583
highest_qualification_Diploma,-0.17554648218349023,0.17554648218349023
highest_qualification_Matric,-0.16010378218959112,0.16010378218959112
township_code_DIEPSLOOT,0.14820886410219022,0.14820886410219022
