person_key,gender_code,age,south_african_citizen,highest_qualification,education_level_code,field_of_study,nqf_level,township_code,ward_number,currently_employed,months_unemployed,seeking_work,preferred_sector,income_band,digital_literacy_level,has_smartphone,transport_mode,willing_to_relocate,training_interest,completeness_score,quality_score,employment_probability,employment_prediction
1,Male,28,True,Matric,GRADE_12,General,4,SOWETO,WARD_001,False,18,True,ICT,No income,Intermediate,True,Taxi,True,True,92.5,88.0,0.00041797440652802836,False
1,Male,28,True,Matric,GRADE_12,General,4,SOWETO,83,False,18,True,ICT,No income,Intermediate,True,Taxi,True,True,92.5,88.0,0.0004699631428912815,False
1,Male,28,True,Matric,GRADE_12,General,4,SOWETO,WARD_001,False,18,True,ICT,No income,Intermediate,True,Taxi,True,True,92.5,88.0,0.00041797440652802836,False
1,Male,28,True,Matric,GRADE_12,General,4,SOWETO,41,False,18,True,ICT,No income,Intermediate,True,Taxi,True,True,92.5,88.0,0.0004638552922433516,False
1,Male,28,True,Matric,GRADE_12,General,4,SOWETO,126,False,18,True,ICT,No income,Intermediate,True,Taxi,True,True,92.5,88.0,0.0004597543217182662,False
1,Male,28,True,Matric,GRADE_12,General,4,SOWETO,104,False,18,True,ICT,No income,Intermediate,True,Taxi,True,True,92.5,88.0,0.0004551507939428788,False
1,Male,28,True,Matric,GRADE_12,General,4,SOWETO,59,False,18,True,ICT,No income,Intermediate,True,Taxi,True,True,92.5,88.0,0.0004581866999017765,False
1,Male,28,True,Matric,GRADE_12,General,4,SOWETO,86,False,18,True,ICT,No income,Intermediate,True,Taxi,True,True,92.5,88.0,0.00046398482910133573,False
1,Male,28,True,Matric,GRADE_12,General,4,SOWETO,127,False,18,True,ICT,No income,Intermediate,True,Taxi,True,True,92.5,88.0,0.0004975944109507176,False
57,Male,40,True,Diploma,NQF,Hospitality,8,SOWETO,WARD_001,True,0,False,Manufacturing,>R15000,Intermediate,True,Taxi,False,True,90.0,90.0,0.9957481223151506,True
57,Male,40,True,Diploma,NQF,Hospitality,8,SOWETO,WARD_001,True,0,False,Manufacturing,>R15000,Intermediate,True,Taxi,False,True,90.0,90.0,0.9957481223151506,True
57,Male,40,True,Diploma,NQF,Hospitality,8,SOWETO,WARD_001,True,0,False,Manufacturing,>R15000,Intermediate,True,Taxi,False,True,90.0,90.0,0.9957481223151506,True
57,Male,40,True,Diploma,NQF,Hospitality,8,SOWETO,83,True,0,False,Manufacturing,>R15000,Intermediate,True,Taxi,False,True,90.0,90.0,0.9962168943430828,True
57,Male,40,True,Diploma,NQF,Hospitality,8,SOWETO,83,True,0,False,Manufacturing,>R15000,Intermediate,True,Taxi,False,True,90.0,90.0,0.9962168943430828,True
57,Male,40,True,Diploma,NQF,Hospitality,8,SOWETO,83,True,0,False,Manufacturing,>R15000,Intermediate,True,Taxi,False,True,90.0,90.0,0.9962168943430828,True
57,Male,40,True,Diploma,NQF,Hospitality,8,SOWETO,WARD_001,True,0,False,Manufacturing,>R15000,Intermediate,True,Taxi,False,True,90.0,90.0,0.9957481223151506,True
57,Male,40,True,Diploma,NQF,Hospitality,8,SOWETO,WARD_001,True,0,False,Manufacturing,>R15000,Intermediate,True,Taxi,False,True,90.0,90.0,0.9957481223151506,True
57,Male,40,True,Diploma,NQF,Hospitality,8,SOWETO,WARD_001,True,0,False,Manufacturing,>R15000,Intermediate,True,Taxi,False,True,90.0,90.0,0.9957481223151506,True
57,Male,40,True,Diploma,NQF,Hospitality,8,SOWETO,41,True,0,False,Manufacturing,>R15000,Intermediate,True,Taxi,False,True,90.0,90.0,0.9961672475989087,True
57,Male,40,True,Diploma,NQF,Hospitality,8,SOWETO,41,True,0,False,Manufacturing,>R15000,Intermediate,True,Taxi,False,True,90.0,90.0,0.9961672475989087,True
57,Male,40,True,Diploma,NQF,Hospitality,8,SOWETO,41,True,0,False,Manufacturing,>R15000,Intermediate,True,Taxi,False,True,90.0,90.0,0.9961672475989087,True
57,Male,40,True,Diploma,NQF,Hospitality,8,SOWETO,126,True,0,False,Manufacturing,>R15000,Intermediate,True,Taxi,False,True,90.0,90.0,0.9961331761585996,True
57,Male,40,True,Diploma,NQF,Hospitality,8,SOWETO,126,True,0,False,Manufacturing,>R15000,Intermediate,True,Taxi,False,True,90.0,90.0,0.9961331761585996,True
57,Male,40,True,Diploma,NQF,Hospitality,8,SOWETO,126,True,0,False,Manufacturing,>R15000,Intermediate,True,Taxi,False,True,90.0,90.0,0.9961331761585996,True
57,Male,40,True,Diploma,NQF,Hospitality,8,SOWETO,104,True,0,False,Manufacturing,>R15000,Intermediate,True,Taxi,False,True,90.0,90.0,0.9960942008127902,True
57,Male,40,True,Diploma,NQF,Hospitality,8,SOWETO,104,True,0,False,Manufacturing,>R15000,Intermediate,True,Taxi,False,True,90.0,90.0,0.9960942008127902,True
57,Male,40,True,Diploma,NQF,Hospitality,8,SOWETO,104,True,0,False,Manufacturing,>R15000,Intermediate,True,Taxi,False,True,90.0,90.0,0.9960942008127902,True
